start_station_id,lat,lng,bike_lane_length_500m,park_area_500m,university_count_1000m,office_poi_count_1000m,retail_poi_count_1000m,restaurant_cafe_count_500m,transit_stop_count_500m,distance_to_nearest_rail_station,distance_to_city_center
1140,51.485357,-0.142207,2179.8,60445.1,0,42,291,30,15,637.9,2646.2
1141,51.514409,-0.118478,5199.1,52646.7,9,156,1111,263,44,320.6,1011.7
1142,51.503493,-0.07962,2956.1,56243.5,3,49,302,94,42,413.5,3362.8
1143,51.503157,-0.191496,1914.4,180746.6,4,72,435,72,18,320.8,4433.7
1144,51.506692,-0.103137,5461.3,38066.1,6,97,414,84,36,333.0,1708.7
1145,51.51615,-0.128417,9025.7,31511.6,50,210,1788,544,38,146.8,973.9
1146,51.526443,-0.109256,5456.3,75380.4,9,151,643,83,43,708.7,2475.9
1147,51.525575,-0.179592,1915.6,85758.0,0,41,231,32,22,386.9,4114.3
1148,51.493573,-0.139956,483.7,77080.5,1,103,416,142,75,346.1,1752.7
1150,51.51031,-0.187402,1220.0,327707.0,2,70,513,73,23,21.6,4137.5
1151,51.506543,-0.123179,3594.0,92668.2,5,109,915,140,57,99.1,333.7
1152,51.514759,-0.148105,932.3,46972.6,0,200,1859,240,42,126.0,1626.1
1153,51.50777,-0.130699,1154.9,129386.4,1,162,1715,371,61,299.7,204.8
1154,51.495718,-0.110889,4987.2,214977.6,4,42,230,25,32,366.1,1748.6
1155,51.49206,-0.132224,2224.9,75964.7,1,92,321,53,38,388.3,1733.0
1156,51.523673,-0.128377,11638.7,91723.8,51,145,737,126,26,294.4,1809.9
1157,51.509908,-0.187842,1220.0,336102.9,2,69,506,73,24,75.8,4164.7
1158,51.50908747,-0.129697889,1563.3,48764.5,2,170,1808,560,65,261.1,229.0
1159,51.522853,-0.099994,2258.2,56733.0,8,183,539,144,40,312.0,2579.7
1160,51.508103,-0.126021,2829.5,81130.0,5,157,1317,315,65,30.1,145.8
1161,51.518908,-0.079249,3750.9,17010.7,9,195,878,274,61,169.9,3595.2
1162,51.522596,-0.161113,4765.0,97425.4,6,108,700,95,60,170.7,2858.1
1163,51.512515,-0.133201,2862.8,17680.6,13,209,2308,766,50,314.2,680.6
1164,51.520715,-0.145211,2707.9,51961.7,24,193,1366,138,16,338.8,1908.8
1165,51.482362,-0.136123,2491.4,57827.7,0,20,226,12,13,508.2,2843.1
1166,51.522029,-0.165842,4017.3,23368.5,6,104,645,72,51,163.9,3094.5
1167,51.517335,-0.17581,6475.4,47824.2,2,90,484,104,52,108.0,3501.2
1169,51.501352,-0.153194,5666.9,345495.4,0,81,500,42,31,171.9,1881.9
1170,51.494816,-0.130458,1769.6,99443.6,1,105,295,53,35,573.9,1411.3
1171,51.518154,-0.062697,4904.9,41849.6,2,72,724,57,37,254.6,4661.2
1172,51.492479,-0.178433,673.0,93988.8,6,72,572,132,48,423.1,3877.7
1173,51.517919,-0.188098,1734.3,84035.7,2,62,441,57,22,130.9,4333.5
1174,51.488057,-0.140741,2288.6,89290.2,0,60,391,38,23,395.2,2329.9
1175,51.525051,-0.166304,4978.9,82860.8,6,87,439,27,34,202.8,3309.2
1176,51.50486,-0.113001,6007.5,68558.1,5,71,316,130,86,217.7,1062.5
1177,51.501855,-0.159237,5812.2,454242.3,0,70,372,67,26,121.5,2261.5
1178,51.515607,-0.183118,3598.7,52778.7,3,67,330,104,48,364.7,3935.4
1179,51.490664,-0.166485,1689.1,63292.3,2,51,769,60,24,586.0,3261.0
1180,51.490959,-0.153233,561.7,90407.5,0,78,594,54,43,231.5,2538.0
1182,51.509353,-0.196422,417.5,69534.4,2,67,715,62,30,50.1,4754.1
1183,51.490163,-0.190393,1502.3,77679.6,0,47,307,57,30,292.3,4737.8
1184,51.514225,-0.08066,5526.8,11438.0,6,177,735,290,67,343.0,3349.4
1186,51.506133,-0.114686,5690.1,57363.5,6,87,467,77,78,351.8,918.5
1187,51.527294,-0.174653,2408.0,30140.0,1,47,296,22,23,768.7,3924.8
1188,51.536922,-0.150181,4311.9,283758.8,0,37,426,37,12,590.1,3629.6
1189,51.499075,-0.085666,3216.7,75606.4,3,40,293,66,29,577.5,3059.7
1190,51.486343,-0.122492,8587.6,96468.4,0,36,181,33,39,57.9,2370.1
1191,51.520044,-0.092176,4053.3,104833.9,8,239,643,84,49,294.1,2837.9
1192,51.509631,-0.119047,6515.6,36904.6,8,119,905,235,48,348.5,654.6
1193,51.501432,-0.178656,4745.6,454730.1,4,62,292,27,21,846.4,3581.9
1194,51.522481,-0.154907,3765.0,198587.6,5,132,681,117,32,128.0,2516.1
1195,51.488226,-0.135635,3044.8,88824.4,0,70,310,32,27,105.8,2200.0
1196,51.493985,-0.136928,257.9,71180.8,1,108,369,119,30,507.1,1620.0
1197,51.510048,-0.138846,1259.5,28696.6,1,178,2044,442,48,299.4,819.2
1199,51.525367,-0.153463,1933.2,559234.3,4,108,454,40,23,384.2,2673.0
1200,51.49652013,-0.101384068,8738.3,117154.6,4,49,254,49,44,190.1,2192.4
1201,51.514441,-0.087587,5994.6,18637.5,10,165,683,209,70,193.7,2890.9
1202,51.511756,-0.119643,6893.8,38679.0,7,148,988,294,32,354.0,743.8
1203,51.516417,-0.179135,6212.1,50433.5,2,70,450,96,49,78.4,3691.3
1204,51.501026,-0.180246,4116.1,373117.9,4,70,311,41,23,763.4,3698.5
1205,51.490867,-0.116911,5441.4,112632.4,1,41,151,22,27,690.2,1986.9
1206,51.498884,-0.165471,1897.9,163949.1,3,78,639,79,23,436.1,2774.0
1207,51.511968,-0.120718,7482.6,36013.0,8,155,1097,372,35,276.6,705.8
1208,51.496791,-0.093913,6763.7,93748.9,6,53,269,35,32,452.5,2625.5
1209,51.500823,-0.08974,3161.2,88899.0,6,50,270,72,30,249.3,2733.9
1210,51.493343,-0.194757,2157.6,51728.4,1,60,417,52,24,201.5,4891.2
1211,51.520858,-0.089887,4520.9,97878.4,13,234,698,95,40,295.6,3020.3
1213,51.502279,-0.074189,4232.1,40460.4,2,33,227,42,30,813.9,3754.0
1214,51.498157,-0.209494,959.8,41177.5,0,55,299,27,21,80.1,5747.2
1216,51.500296,-0.092762,4345.9,97171.5,6,52,298,52,28,101.3,2550.5
1217,51.505014,-0.17306,7227.5,858389.6,3,35,148,10,5,776.6,3143.7
1218,51.488023,-0.166878,1997.8,88386.6,2,41,696,43,22,793.4,3458.3
1219,51.500139,-0.113935,10738.1,96732.3,6,51,214,116,101,189.2,1254.1
1220,51.499428,-0.179702,1857.7,222693.9,4,74,341,43,31,614.1,3700.2
1221,51.51196,-0.142783,2288.8,17463.2,1,204,2049,304,48,346.6,1154.2
1222,51.528246,-0.101026,3825.3,67983.6,8,140,588,43,34,586.1,2967.3
1223,51.521776,-0.068856,4546.0,81497.3,5,108,870,143,15,422.7,4380.9
1224,51.486965,-0.116625,7438.7,85953.2,1,32,161,38,35,443.2,2400.3
1225,51.517703,-0.154106,926.0,39666.6,4,166,1186,212,27,526.5,2150.9
1226,51.529423,-0.097122,2253.8,64248.4,6,109,524,30,18,706.3,3240.8
1227,51.51348,-0.17977,4448.0,210356.0,3,62,297,77,44,344.0,3659.6
1228,51.510701,-0.121723,7374.8,31501.4,7,144,1106,364,56,319.6,558.2
1229,51.516398,-0.124257,8338.0,50793.6,37,194,1440,356,48,301.7,1030.1
1230,51.510919,-0.151126,2927.9,126474.4,0,121,1460,135,29,360.6,1661.1
1231,51.501715,-0.179854,4712.7,460844.0,4,68,286,36,23,844.7,3657.9
2585,51.517932,-0.183716,5370.3,88739.9,3,65,437,51,48,285.8,4042.8
2586,51.534408,-0.109025,4189.4,96727.3,5,43,611,119,45,297.8,3272.1
2587,51.516154,-0.082422,4656.1,19704.2,9,194,810,274,72,169.7,3287.7
2589,51.511084,-0.197524,673.2,67675.5,2,66,735,89,34,257.2,4842.7
2633,51.508605,-0.193764,891.4,129538.5,2,70,641,66,27,172.7,4567.2
2636,51.535892,-0.160854,3177.8,563054.9,0,22,148,4,8,928.6,3907.3
2637,51.497855,-0.081608,3901.3,76178.4,2,29,285,57,27,818.9,3368.8
2639,51.49775,-0.10988,7912.8,178238.5,7,42,220,67,42,198.2,1640.1
2641,51.53114,-0.086016,2830.0,119387.6,2,93,304,44,31,623.1,3914.9
2648,51.505354,-0.113656,4910.1,62800.1,5,80,371,111,78,262.7,1005.0
2649,51.515208,-0.117863,4070.5,54905.7,9,158,1087,238,44,261.5,1107.6
2660,51.513103,-0.131213,3910.0,18673.3,19,210,2212,768,45,264.4,676.7
2662,51.497829,-0.13544,2936.6,127241.6,1,119,339,83,28,172.0,1188.4
2665,51.529121,-0.171185,2886.8,74875.2,2,42,269,17,21,724.4,3852.9
2666,51.496753,-0.138733,1766.7,95244.6,1,122,360,164,61,309.9,1405.1
2667,51.500845,-0.074704,4671.1,61654.4,2,28,217,56,36,799.9,3746.6
